CountryGuess,Sentiment,share
Germany,0.0,0.9520870076425632
Germany,-1.0,0.042034097589653145
Germany,1.0,0.005878894767783657
Hungary,0.0,0.8250118877793629
Hungary,-1.0,0.15644317641464575
Hungary,1.0,0.018544935805991442
Other,0.0,0.821788627974067
Other,-1.0,0.1141855631727518
Other,1.0,0.06402580885318113
Slovakia,0.0,0.7782079646017699
Slovakia,-1.0,0.2013274336283186
Slovakia,1.0,0.020464601769911505
